sale_date,sale_time,title,quantity,id
2017-11-16,15:39:22,Футболка тип 5 - Nike,1,7865
2017-11-16,15:39:22,Мячик тип 1 - Adidas,1,7866
2017-11-16,15:39:22,Сапоги тип 3 - Nike,1,7867
2017-11-16,15:39:22,Ремень тип 3 - Puma,1,7868
2017-11-16,15:39:22,Запонка тип 3 - Nike,1,7869
2017-11-16,15:39:22,Кепка тип 2 - Puma,1,7870
2017-11-16,15:39:22,Рубашка тип 7 - Adidas,1,7871
2017-11-16,15:39:22,Кроссовки тип 4 - Nike,1,7872
2018-5-17,20:51:06,Штаны тип 3 - Nike,1,7873
2018-5-17,20:51:06,Кроссовки тип 4 - Adidas,1,7874
2018-10-9,12:28:55,Рубашка тип 3 - Reebok,2,7875
2018-3-9,20:39:27,Шлёпки тип 2 - Adidas,1,7876
2017-10-27,17:20:03,Шлёпки тип 2 - Puma,1,7877
2017-10-27,17:20:03,Ремень тип 3 - Adidas,1,7878
2017-10-27,17:20:03,Колготки тип 5 - Nike,1,7879
2017-10-27,17:20:03,Рубашка тип 6 - Adidas,1,7880
2017-10-27,17:20:03,Колготки тип 5 - Reebok,1,7881
2017-10-27,17:20:03,Ремень тип 2 - Adidas,1,7882
2017-3-15,18:24:05,Шапка тип 4 - Nike,1,7883
2017-3-15,18:24:05,Кроссовки тип 6 - Nike,1,7884
2016-6-29,12:35:07,Футболка тип 5 - Nike,1,7885
2016-10-7,18:10:14,Кепка тип 3 - Nike,1,7886
2016-10-7,18:10:14,Рубашка тип 11 - Puma,2,7887
2016-6-12,17:39:51,Футболка тип 4 - Puma,1,7888
2017-4-14,17:10:24,Мячик тип 1 - Puma,1,7889
2016-10-6,20:57:14,Сапоги тип 4 - Puma,1,7890
2017-10-21,18:41:22,Сапоги тип 2 - Adidas,1,7891
2018-9-28,18:34:54,Футболка тип 1 - Puma,1,7892
2018-9-28,18:34:54,Туфли тип 1 - Puma,1,7893
2018-9-28,18:34:54,Ремень тип 1 - Reebok,1,7894
2018-9-28,18:34:54,Шапка тип 2 - Adidas,1,7895
2016-1-21,17:32:02,Штаны тип 4 - Adidas,1,7896
2018-1-4,14:20:51,Сапоги тип 2 - Puma,1,7897
2018-1-4,14:20:51,Штаны тип 7 - Puma,1,7898
2016-6-28,12:48:44,Туфли тип 4 - Nike,1,7899
2018-5-5,14:46:38,Сапоги тип 1 - Nike,1,7900
2016-5-15,13:21:50,Кепка тип 1 - Nike,2,7901
2016-9-15,17:53:45,Футболка тип 2 - Puma,1,7902
2016-1-1,15:44:55,Шапка тип 7 - Nike,1,7903
2016-1-1,15:44:55,Рубашка тип 3 - Puma,1,7904
2016-2-13,12:31:30,Кроссовки тип 2 - Puma,1,7905
2018-7-14,12:34:39,Ремень тип 2 - Reebok,1,7906
2018-7-14,12:34:39,Шапка тип 7 - Adidas,1,7907
2018-5-18,10:39:09,Штаны тип 5 - Reebok,1,7908
2016-11-6,15:24:24,Шапка тип 5 - Reebok,1,7909
2017-12-19,17:43:22,Колготки тип 1 - Nike,2,7910
2017-12-19,17:43:22,Колготки тип 2 - Reebok,1,7911
2017-12-19,17:43:22,Рубашка тип 3 - Reebok,2,7912
2017-7-4,19:47:37,Штаны тип 8 - Nike,1,7913
2017-7-4,19:47:37,Туфли тип 1 - Reebok,1,7914
2017-7-4,19:47:37,Колготки тип 2 - Puma,1,7915
2018-12-8,09:49:33,Майка тип 3 - Nike,1,7916
2017-12-28,11:59:58,Шапка тип 5 - Adidas,1,7917
2017-12-28,11:59:58,Шлёпки тип 1 - Adidas,1,7918
2017-12-28,11:59:58,Кепка тип 1 - Puma,1,7919
2017-12-28,11:59:58,Штаны тип 5 - Reebok,1,7920
2018-7-15,14:13:22,Штаны тип 1 - Adidas,1,7921
2016-1-15,10:48:15,Футболка тип 4 - Adidas,1,7922
2016-1-15,10:48:15,Шапка тип 6 - Nike,1,7923
2016-1-15,10:48:15,Шлёпки тип 1 - Adidas,1,7924
2016-9-8,12:40:55,Ремень тип 3 - Adidas,1,7925
2018-2-16,11:46:07,Сапоги тип 5 - Adidas,1,7926
2017-11-24,16:44:05,Туфли тип 1 - Adidas,1,7927
2017-11-24,16:44:05,Штаны тип 12 - Adidas,1,7928
2017-11-24,16:44:05,Шапка тип 7 - Reebok,1,7929
2017-6-24,15:01:17,Рубашка тип 2 - Puma,1,7930
2017-6-24,15:01:17,Кроссовки тип 3 - Adidas,1,7931
2017-8-17,16:34:02,Футболка тип 4 - Puma,1,7932
2017-6-30,20:25:31,Рубашка тип 6 - Puma,1,7933
2016-10-31,20:09:24,Кроссовки тип 1 - Reebok,2,7934
2016-10-31,20:09:24,Колготки тип 6 - Nike,1,7935
2017-6-15,12:32:46,Ремень тип 4 - Reebok,1,7936
2016-12-3,19:13:02,Штаны тип 6 - Adidas,1,7937
2016-8-27,18:19:39,Футболка тип 5 - Nike,1,7938
2016-4-10,15:05:44,Рубашка тип 3 - Adidas,1,7939
2016-4-10,15:05:44,Колготки тип 5 - Adidas,1,7940
2017-11-17,13:31:12,Ремень тип 4 - Puma,1,7941
2016-3-31,14:27:46,Туфли тип 3 - Nike,1,7942
2016-12-20,19:16:26,Шапка тип 2 - Puma,1,7943
2016-12-20,19:16:26,Штаны тип 10 - Reebok,1,7944
2016-12-20,19:16:26,Рубашка тип 2 - Nike,1,7945
2016-12-20,19:16:26,Рубашка тип 7 - Reebok,1,7946
2016-12-20,19:16:26,Шапка тип 3 - Puma,1,7947
2016-12-20,19:16:26,Колготки тип 2 - Nike,1,7948
2016-12-20,19:16:26,Штаны тип 11 - Reebok,1,7949
2016-10-25,20:16:47,Сапоги тип 1 - Reebok,1,7950
2016-9-16,11:32:25,Шапка тип 4 - Puma,1,7951
2016-9-16,11:32:25,Запонка тип 6 - Nike,1,7952
2016-9-16,11:32:25,Туфли тип 1 - Nike,1,7953
