sale_date,sale_time,title,id
2016-8-22,10:42:40,Футболка тип 1 - Reebok,7421
2016-8-22,10:42:40,Туфли тип 4 - Reebok,7422
2018-8-3,15:47:27,Шапка тип 5 - Adidas,7423
2018-8-3,15:47:27,Рубашка тип 6 - Reebok,7424
2016-10-11,20:14:56,Шапка тип 5 - Nike,7425
2017-12-5,12:58:47,Майка тип 1 - Reebok,7426
2017-12-5,12:58:47,Кепка тип 2 - Reebok,7427
2017-9-3,11:00:18,Запонка тип 5 - Puma,7428
2016-7-21,20:01:20,Футболка тип 4 - Puma,7429
2018-6-28,14:28:49,Колготки тип 3 - Adidas,7430
2017-4-4,13:10:41,Колготки тип 2 - Nike,7431
2017-4-4,13:10:41,Футболка тип 4 - Nike,7432
2017-4-4,13:10:41,Штаны тип 6 - Nike,7433
2017-4-4,13:10:41,Штаны тип 12 - Reebok,7434
2017-4-4,13:10:41,Футболка тип 4 - Adidas,7435
2017-1-13,17:53:01,Колготки тип 1 - Adidas,7436
2017-1-13,17:53:01,Рубашка тип 7 - Reebok,7437
2017-1-13,17:53:01,Рубашка тип 8 - Puma,7438
2017-1-13,17:53:01,Колготки тип 6 - Nike,7439
2017-1-13,17:53:01,Шлёпки тип 2 - Adidas,7440
2016-11-13,13:07:44,Сапоги тип 1 - Adidas,7441
2016-10-17,16:47:25,Рубашка тип 2 - Nike,7442
2018-2-16,11:48:19,Штаны тип 2 - Puma,7443
2018-2-16,11:48:19,Штаны тип 4 - Puma,7444
2018-2-16,11:48:19,Штаны тип 2 - Reebok,7445
2018-2-16,11:48:19,Рубашка тип 3 - Nike,7446
2018-2-16,11:48:19,Шлёпки тип 2 - Adidas,7447
2018-2-16,11:48:19,Колготки тип 1 - Puma,7448
2018-2-16,11:48:19,Штаны тип 2 - Nike,7449
2018-3-3,12:05:28,Кроссовки тип 3 - Adidas,7450
2018-3-3,12:05:28,Рубашка тип 5 - Adidas,7451
2018-3-3,12:05:28,Колготки тип 2 - Adidas,7452
2018-3-3,12:05:28,Колготки тип 3 - Nike,7453
2018-3-3,12:05:28,Штаны тип 8 - Nike,7454
2016-5-22,13:43:57,Рубашка тип 5 - Nike,7455
2016-5-22,13:43:57,Шапка тип 6 - Reebok,7456
2016-12-27,20:40:31,Колготки тип 1 - Reebok,7457
2016-12-27,20:40:31,Запонка тип 1 - Reebok,7458
2017-9-22,09:58:34,Штаны тип 3 - Adidas,7459
2017-12-26,12:00:19,Мячик тип 2 - Adidas,7460
2017-12-26,12:00:19,Кроссовки тип 3 - Puma,7461
2017-12-26,12:00:19,Шапка тип 8 - Adidas,7462
2017-12-26,12:00:19,Рубашка тип 6 - Nike,7463
2017-12-26,12:00:19,Колготки тип 2 - Puma,7464
2018-10-8,09:58:14,Мячик тип 2 - Reebok,7465
2018-10-8,09:58:14,Кепка тип 1 - Adidas,7466
2017-11-20,16:42:58,Туфли тип 4 - Adidas,7467
2016-6-12,19:12:50,Запонка тип 2 - Reebok,7468
2016-6-12,19:12:50,Ремень тип 2 - Nike,7469
2016-6-12,19:12:50,Запонка тип 6 - Puma,7470
2017-7-26,13:30:03,Шапка тип 6 - Nike,7471
2018-3-8,11:04:51,Штаны тип 4 - Puma,7472
2017-7-28,14:38:13,Мячик тип 1 - Adidas,7473
2017-7-28,14:38:13,Запонка тип 3 - Puma,7474
2017-7-28,14:38:13,Футболка тип 1 - Adidas,7475
2017-6-3,17:57:06,Кепка тип 2 - Adidas,7476
2017-6-3,17:57:06,Рубашка тип 2 - Reebok,7477
2016-3-30,19:49:04,Туфли тип 2 - Puma,7478
2016-2-27,09:06:10,Штаны тип 3 - Adidas,7479
2016-7-28,10:38:01,Шапка тип 5 - Puma,7480
